
Fail: Eawdfr2s3WEE	10p8-082wj498	2014-02-06 14:13:26数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
 244	56.87	56.60	0.0100		0.0048		Pass
 265	62.85	62.80	0.0100		0.0008		Pass
 286	69.11	69.00	0.0100		0.0016		Pass
 307	75.29	75.20	0.0100		0.0012		Pass
 328	81.54	81.40	0.0100		0.0017		Pass
 349	87.72	87.60	0.0100		0.0014		Pass
 370	100.82	100.60	0.0100		0.0022		Pass
 391	115.66	115.60	0.0100		0.0005		Pass
 412	130.61	130.60	0.0100		0.0001		Pass
 433	151.18	150.60	0.0100		0.0039		Pass
 454	171.01	170.60	0.0100		0.0024		Pass
 454	171.01	170.60	0.0100		0.0024		Pass
 433	151.13	150.60	0.0100		0.0035		Pass
 412	130.76	130.60	0.0100		0.0012		Pass
 391	115.81	115.60	0.0100		0.0018		Pass
 370	100.67	100.60	0.0100		0.0007		Pass
 349	87.74	87.60	0.0100		0.0016		Pass
 328	81.48	81.40	0.0100		0.0010		Pass
 307	75.31	75.20	0.0100		0.0015		Pass
 286	69.06	69.00	0.0100		0.0009		Pass
 265	63.02	62.80	0.0100		0.0035		Pass
 244	56.74	56.60	0.0100		0.0025		Pass
 223	50.64	50.40	0.0100		0.0048		Pass
 202	44.83	44.80	0.0100		0.0007		Pass
 181	39.27	39.20	0.0100		0.0018		Pass
 160	33.65	33.60	0.0100		0.0015		Pass
 139	28.07	28.00	0.0100		0.0025		Pass
 118	22.46	22.40	0.0100		0.0027		Pass
  97	16.83	16.80	0.0100		0.0018		Pass
  76	11.23	11.20	0.0100		0.0027		Pass
  55	 5.61	 5.60	0.0400		0.0018		Pass

Fail: Eawdfr2s3WEE	10p8-082wj495	2014-02-06 14:23:42数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.63	 5.60	0.0400		0.0054		Pass
  76	11.25	11.20	0.0100		0.0045		Pass
  97	16.88	16.80	0.0100		0.0048		Pass
 118	22.49	22.40	0.0100		0.0040		Pass
 139	28.01	28.00	0.0100		0.0004		Pass
 160	33.68	33.60	0.0100		0.0024		Pass
 181	39.29	39.20	0.0100		0.0023		Pass
 202	44.97	44.80	0.0100		0.0038		Pass
 223	50.43	50.40	0.0100		0.0006		Pass
 244	56.72	56.60	0.0100		0.0021		Pass
 265	63.05	62.80	0.0100		0.0040		Pass
 286	69.26	69.00	0.0100		0.0038		Pass
 307	75.48	75.20	0.0100		0.0037		Pass
 328	81.45	81.40	0.0100		0.0006		Pass
 349	87.76	87.60	0.0100		0.0018		Pass
 370	100.68	100.60	0.0100		0.0008		Pass
 391	116.12	115.60	0.0100		0.0045		Pass
 412	130.65	130.60	0.0100		0.0004		Pass
 433	150.63	150.60	0.0100		0.0002		Pass
 454	171.12	170.60	0.0100		0.0030		Pass
 454	171.12	170.60	0.0100		0.0030		Pass
 433	150.64	150.60	0.0100		0.0003		Pass
 412	131.08	130.60	0.0100		0.0037		Pass
 391	115.61	115.60	0.0100		0.0001		Pass
 370	100.80	100.60	0.0100		0.0020		Pass
 349	87.74	87.60	0.0100		0.0016		Pass
 328	81.61	81.40	0.0100		0.0026		Pass
 307	75.48	75.20	0.0100		0.0037		Pass
 286	69.21	69.00	0.0100		0.0030		Pass
 265	63.02	62.80	0.0100		0.0035		Pass
 244	56.79	56.60	0.0100		0.0034		Pass
 223	50.55	50.40	0.0100		0.0030		Pass
 202	44.93	44.80	0.0100		0.0029		Pass
 181	39.36	39.20	0.0100		0.0041		Pass
 160	33.66	33.60	0.0100		0.0018		Pass
 139	28.03	28.00	0.0100		0.0011		Pass
 118	22.45	22.40	0.0100		0.0022		Pass
  97	16.87	16.80	0.0100		0.0042		Pass
  76	11.26	11.20	0.0100		0.0054		Pass
  55	 5.61	 5.60	0.0400		0.0018		Pass

Fail: Eawdfr2s3WEE	10p8-082wj496	2014-02-06 14:23:47数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.61	 5.60	0.0400		0.0018		Pass
  76	11.25	11.20	0.0100		0.0045		Pass
  97	16.87	16.80	0.0100		0.0042		Pass
 118	22.49	22.40	0.0100		0.0040		Pass
 139	28.14	28.00	0.0100		0.0050		Pass
 160	33.75	33.60	0.0100		0.0045		Pass
 181	39.25	39.20	0.0100		0.0013		Pass
 202	44.86	44.80	0.0100		0.0013		Pass
 223	50.58	50.40	0.0100		0.0036		Pass
 244	56.65	56.60	0.0100		0.0009		Pass
 265	63.07	62.80	0.0100		0.0043		Pass
 286	69.31	69.00	0.0100		0.0045		Pass
 307	75.36	75.20	0.0100		0.0021		Pass
 328	81.63	81.40	0.0100		0.0028		Pass
 349	87.81	87.60	0.0100		0.0024		Pass
 370	100.78	100.60	0.0100		0.0018		Pass
 391	116.08	115.60	0.0100		0.0042		Pass
 412	130.68	130.60	0.0100		0.0006		Pass
 433	151.21	150.60	0.0100		0.0041		Pass
 454	171.32	170.60	0.0100		0.0042		Pass
 454	171.32	170.60	0.0100		0.0042		Pass
 433	150.77	150.60	0.0100		0.0011		Pass
 412	131.10	130.60	0.0100		0.0038		Pass
 391	115.84	115.60	0.0100		0.0021		Pass
 370	100.77	100.60	0.0100		0.0017		Pass
 349	87.84	87.60	0.0100		0.0027		Pass
 328	81.69	81.40	0.0100		0.0036		Pass
 307	75.39	75.20	0.0100		0.0025		Pass
 286	69.11	69.00	0.0100		0.0016		Pass
 265	62.84	62.80	0.0100		0.0006		Pass
 244	56.78	56.60	0.0100		0.0032		Pass
 223	50.40	50.40	0.0100		0.0000		Pass
 202	44.82	44.80	0.0100		0.0004		Pass
 181	39.22	39.20	0.0100		0.0005		Pass
 160	33.60	33.60	0.0100		0.0000		Pass
 139	28.13	28.00	0.0100		0.0046		Pass
 118	22.45	22.40	0.0100		0.0022		Pass
  97	16.80	16.80	0.0100		0.0000		Pass
  76	11.22	11.20	0.0100		0.0018		Pass
  55	 5.60	 5.60	0.0400		0.0000		Pass

Fail: Eawdfr2s3WEE	10p8-082wj497	2014-02-06 14:23:52数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.60	 5.60	0.0400		0.0000		Pass
  76	11.20	11.20	0.0100		0.0000		Pass
  97	16.85	16.80	0.0100		0.0030		Pass
 118	22.49	22.40	0.0100		0.0040		Pass
 139	28.04	28.00	0.0100		0.0014		Pass
 160	33.76	33.60	0.0100		0.0048		Pass
 181	39.27	39.20	0.0100		0.0018		Pass
 202	44.82	44.80	0.0100		0.0004		Pass
 223	50.63	50.40	0.0100		0.0046		Pass
 244	56.68	56.60	0.0100		0.0014		Pass
 265	62.98	62.80	0.0100		0.0029		Pass
 286	69.29	69.00	0.0100		0.0042		Pass
 307	75.35	75.20	0.0100		0.0020		Pass
 328	81.59	81.40	0.0100		0.0023		Pass
 349	87.98	87.60	0.0100		0.0043		Pass
 370	100.65	100.60	0.0100		0.0005		Pass
 391	116.09	115.60	0.0100		0.0042		Pass
 412	131.23	130.60	0.0100		0.0048		Pass
 433	150.96	150.60	0.0100		0.0024		Pass
 454	171.23	170.60	0.0100		0.0037		Pass
 454	171.23	170.60	0.0100		0.0037		Pass
 433	151.35	150.60	0.0100		0.0050		Pass
 412	131.04	130.60	0.0100		0.0034		Pass
 391	115.79	115.60	0.0100		0.0016		Pass
 370	101.07	100.60	0.0100		0.0047		Pass
 349	87.94	87.60	0.0100		0.0039		Pass
 328	81.61	81.40	0.0100		0.0026		Pass
 307	75.27	75.20	0.0100		0.0009		Pass
 286	69.12	69.00	0.0100		0.0017		Pass
 265	63.05	62.80	0.0100		0.0040		Pass
 244	56.79	56.60	0.0100		0.0034		Pass
